City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Souillac,MU,2020-11-07 00:48:41,-20.52,57.52,68.0,94,40,2.24
260,Broome,US,2020-11-07 00:48:41,42.25,-75.83,60.8,44,1,6.93
261,Aswan,EG,2020-11-07 00:48:41,24.09,32.91,63.25,56,0,8.46
262,Yuli,NG,2020-11-07 00:44:48,9.7,10.27,73.6,25,0,6.87
263,Enshi,CN,2020-11-07 00:48:41,30.3,109.48,60.21,70,0,0.45
264,Kurmanayevka,RU,2020-11-07 00:48:42,52.51,52.07,41.49,87,100,7.92
265,Longyearbyen,SJ,2020-11-07 00:48:42,78.22,15.64,33.8,86,75,10.29
266,Rantepao,ID,2020-11-07 00:48:42,-2.97,119.9,82.09,56,18,1.83
267,Comodoro Rivadavia,AR,2020-11-07 00:45:01,-45.87,-67.5,50.0,76,0,8.05
268,Xuchang,CN,2020-11-07 00:48:42,34.02,113.82,53.6,30,0,4.47
269,Pevek,RU,2020-11-07 00:48:42,69.7,170.31,20.37,95,100,14.23
270,Merauke,ID,2020-11-07 00:48:43,-8.47,140.33,85.86,63,1,3.44
271,East Liverpool,US,2020-11-07 00:48:43,40.62,-80.58,62.6,42,1,4.7
272,Takoradi,GH,2020-11-07 00:48:43,4.88,-1.76,78.53,90,100,9.73
273,Talnakh,RU,2020-11-07 00:48:43,69.49,88.4,10.4,66,40,13.42
274,Moron,AR,2020-11-07 00:48:43,-34.65,-58.62,70.0,64,100,5.01
275,Sinegorye,RU,2020-11-07 00:48:44,62.08,150.48,5.9,90,100,8.19
276,Kyshtovka,RU,2020-11-07 00:48:44,56.55,76.63,40.78,90,100,11.56
277,Tilichiki,RU,2020-11-07 00:48:44,60.47,166.1,28.87,91,0,3.44
278,Adrar,MR,2020-11-07 00:48:43,20.5,-10.07,80.38,31,51,10.47
279,Regina,CA,2020-11-07 00:44:47,50.45,-104.62,39.2,69,75,9.17
280,San Policarpo,PH,2020-11-07 00:48:44,12.18,125.51,78.55,93,100,13.13
281,Qaanaaq,GL,2020-11-07 00:48:45,77.48,-69.36,-6.27,78,95,8.23
282,Aitape,PG,2020-11-07 00:48:45,-3.14,142.35,86.72,60,65,4.54
283,Lovington,US,2020-11-07 00:48:45,32.94,-103.35,69.8,21,5,8.05
284,Cam Ranh,VN,2020-11-07 00:48:45,11.92,109.16,84.2,89,40,6.93
285,Arrecife,ES,2020-11-07 00:48:45,28.96,-13.55,62.6,77,20,4.7
286,Yumen,CN,2020-11-07 00:44:54,40.28,97.2,38.39,52,0,9.4
287,Grootfontein,NA,2020-11-07 00:48:45,-19.57,18.12,72.23,21,0,13.91
288,Tlacojalpan,MX,2020-11-07 00:48:46,18.23,-95.95,72.41,81,100,4.29
289,Margate,GB,2020-11-07 00:45:38,51.38,1.39,51.01,66,0,5.99
290,Tiarei,PF,2020-11-07 00:46:09,-17.53,-149.33,86.0,58,75,12.75
291,Przhevalskoye,RU,2020-11-07 00:48:46,55.51,31.85,45.07,92,100,10.45
292,Great Yarmouth,GB,2020-11-07 00:48:46,52.61,1.73,50.0,92,0,9.62
293,Geraldton,AU,2020-11-07 00:45:00,-28.77,114.6,73.4,53,0,4.7
294,Teya,RU,2020-11-07 00:48:46,60.38,92.63,24.55,96,100,7.58
295,Moyobamba,PE,2020-11-07 00:48:47,-6.05,-76.97,69.48,77,61,1.72
296,Jensen Beach,US,2020-11-07 00:48:47,27.25,-80.23,78.8,78,40,14.99
297,Mandalgovi,MN,2020-11-07 00:48:47,45.76,106.27,22.95,83,0,11.32
298,Kodiak,US,2020-11-07 00:48:47,57.79,-152.41,44.6,65,20,1.07
299,Kruisfontein,ZA,2020-11-07 00:48:47,-34.0,24.73,57.0,94,100,1.99
300,Mumford,GH,2020-11-07 00:48:48,5.26,-0.76,78.93,89,54,10.69
301,Pangai,TO,2020-11-07 00:44:32,-19.8,-174.35,80.6,65,20,9.17
302,Suwanee,US,2020-11-07 00:48:36,34.05,-84.07,61.0,79,93,7.58
